the	DT
TEI	NNP
,	,
and	CC
these	DT
Guidelines	NNS
are	VBP
also	RB
maintained	VBN
as	IN
such	JJ
a	DT
document	NN
.	.
As	IN
further	JJ
discussed	VBN
in	IN
,	,
an	DT
ODD	NNP
document	NN
can	MD
be	VB
processed	VBN
to	TO
generate	VB
a	DT
schema	NN
expressed	VBN
using	VBG
any	DT
of	IN
the	DT
three	CD
schema	NN
languages	NNS
currently	RB
in	IN
wide	JJ
use	NN
:	:
the	DT
XML	NN
DTD	NN
language	NN
,	,
the	DT
ISO	NN
RELAX	VB
NG	NN
language	NN
,	,
or	CC
the	DT
W3C	NN
Schema	NN
language	NN
,	,
as	RB
well	RB
as	IN
to	TO
generate	VB
documentation	NN
such	JJ
as	IN
the	DT
Guidelines	NNS
and	CC
their	PRP$
associated	VBN
web	NN
site	NN
.	.
The	DT
bulk	NN
of	IN
this	DT
chapter	NN
describes	VBZ
the	DT
TEI	NNP
infrastructure	NN
module	NN
itself	PRP
.	.
Although	IN
it	PRP
may	MD
be	VB
skipped	VBN
at	IN
a	DT
first	JJ
reading	NN
,	,
an	DT
understanding	NN
of	IN
the	DT
topics	NNS
addressed	VBD
here	RB
is	VBZ
essential	JJ
for	IN
anyone	NN
planning	NN
to	TO
take	VB
full	JJ
advantage	NN
of	IN
the	DT
TEI	NNP
customization	NN
techniques	NNS
described	VBN
in	IN
chapter	NN
.	.
The	DT
chapter	NN
begins	VBZ
by	IN
briefly	NN
characterizing	VBG
each	DT
of	IN
the	DT
modules	NNS
available	JJ
in	IN
the	DT
TEI	NNP
scheme	NN
.	.
Section	NN
describes	VBZ
in	IN
general	JJ
terms	NNS
the	DT
method	NN
of	IN
constructing	VBG
a	DT
TEI	NNP
schema	NN
in	IN
a	DT
specific	JJ
schema	NN
language	NN
such	JJ
as	IN
XML	NN
DTD	NN
language	NN
,	,
RELAX	NNP
NG	NNP
,	,
or	CC
W3C	NN
Schema	NN
.	.
The	DT
next	JJ
and	CC
largest	JJS
part	NN
of	IN
the	DT
chapter	NN
introduces	VBZ
the	DT
attribute	NN
and	CC
element	NN
classes	NNS
used	VBN
to	TO
define	VB
groups	NNS
of	IN
elements	NNS
and	CC
their	PRP$
characteristics	NNS
(	-LRB-
section	NN
)	-RRB-
.	.
Finally	RB
,	,
section	NN
introduces	VBZ
the	DT
concept	NN
of	IN
macros	NNS
,	,
which	WDT
are	VBP
used	VBN
to	TO
express	VB
some	DT
commonly	RB
used	VBN
content	NN
models	NNS
,	,
and	CC
lists	VBZ
the	DT
datatypes	NNS
used	VBN
to	TO
constrain	VB
the	DT
range	NN
of	IN
legal	JJ
values	NNS
for	IN
TEI	NNP
attributes	NNS
(	-LRB-
section	NN
)	-RRB-
.	.
TEI	NNP
Modules	NNP
These	DT
Guidelines	NNS
define	VBP
several	JJ
hundred	CD
elements	NNS
and	CC
attributes	NNS
for	IN
marking	VBG
up	RP
documents	NNS
of	IN
any	DT
kind	NN
.	.
Each	DT
definition	NN
has	VBZ
the	DT
following	VBG
components	NNS
:	:
a	DT
prose	NN
description	NN
a	DT
formal	JJ
declaration	NN
,	,
expressed	VBN
using	VBG
a	DT
special-purpose	JJ
XML	NN
vocabulary	NN
defined	VBN
by	IN
these	DT
Guidelines	NNS
in	IN
combination	NN
with	IN
elements	NNS
taken	VBN
from	IN
the	DT
ISO	NN
schema	NN
language	NN
RELAX	NNP
NG	NNP
usage	NN
examples	NNS
Each	DT
chapter	NN
of	IN
these	DT
Guidelines	NNS
presents	VBZ
a	DT
group	NN
of	IN
related	JJ
elements	NNS
,	,
and	CC
also	RB
defines	VBZ
a	DT
corresponding	JJ
set	NN
of	IN
declarations	NNS
,	,
which	WDT
we	PRP
call	VBP
a	DT
module	NN
.	.
All	PDT
the	DT
definitions	NNS
are	VBP
collected	VBN
together	RB
in	IN
the	DT
reference	NN
sections	NNS
provided	VBN
as	IN
an	DT
appendix	NN
.	.
Formal	JJ
declarations	NNS
for	IN
a	DT
given	VBN
chapter	NN
are	VBP
collected	VBN
together	RB
within	IN
the	DT
corresponding	JJ
module	NN
.	.
For	IN
convenience	NN
,	,
each	DT
element	NN
is	VBZ
assigned	VBN
to	TO
a	DT
single	JJ
module	NN
,	,
typically	RB
for	IN
use	NN
in	IN
some	DT
specific	JJ
application	NN
area	NN
,	,
or	CC
to	TO
support	VB
a	DT
particular	JJ
kind	NN
of	IN
usage	NN
.	.
A	DT
module	NN
is	VBZ
thus	RB
simply	RB
a	DT
convenient	JJ
way	NN
of	IN
grouping	VBG
together	RB
a	DT
number	NN
of	IN
associated	JJ
element	NN
declarations	NNS
.	.
In	IN
the	DT
simple	JJ
case	NN
,	,
a	DT
TEI	NNP
schema	NN
is	VBZ
made	VBN
by	IN
combining	VBG
together	RB
a	DT
small	JJ
number	NN
of	IN
modules	NNS
,	,
as	IN
further	JJ
described	VBN
in	IN
section	NN
below	IN
.	.
The	DT
following	VBG
table	NN
lists	VBZ
the	DT
modules	NNS
defined	VBN
by	IN
the	DT
current	JJ
release	NN
of	IN
these	DT
Guidelines	NNS
:	:
Module	NN
name	NN
Formal	JJ
public	JJ
identifier	NN
Where	WRB
defined	VBN
analysis	NN
Analysis	NN
and	CC
Interpretation	NN
certainty	NN
Certainty	NN
and	CC
Uncertainty	NN
core	NN
Common	JJ
Core	NN
corpus	NN
Metadata	NNP
for	IN
Language	NNP
Corpora	NNP
dictionaries	NNS
Print	VB
Dictionaries	NNS
drama	NN
Performance	NNP
Texts	NNP
figures	VBZ
Tables	NNP
,	,
Formulae	NNP
,	,
Figures	NNS
gaiji	VBP
Character	NN
and	CC
Glyph	NN
Documentation	NN
header	NN
Common	JJ
Metadata	NNP
iso-fs	NNS
Feature	NNP
Structures	VBZ
linking	VBG
Linking	NNP
,	,
Segmentation	NNP
,	,
and	CC
Alignment	NN
msdescription	NN
Manuscript	NNP
Description	NN
namesdates	VBZ
Names	NNS
,	,
Dates	VBZ
,	,
People	NNS
,	,
and	CC
Places	NNS
nets	NNS
Graphs	NNS
,	,
Networks	NNP
,	,
and	CC
Trees	NNP
spoken	VBD
Transcribed	VBN
Speech	NN
tagdocs	NNS
Documentation	NN
Elements	NNS
tei	VBP
TEI	NNP
Infrastructure	NNP
textcrit	NN
Text	VB
Criticism	NN
textstructure	NN
Default	NNP
Text	VB
Structure	NN
transcr	NN
Transcription	NN
