in	IN
Songs	NNS
of	IN
Experience	NN
-LRB-	-LRB-
1791	CD
-RRB-	-RRB-
Blake	NNP
,	,
William	NNP
.	.
The	DT
Sick	NNP
Rose	NNP
,	,
in	IN
Songs	NNS
of	IN
Experience	NN
-LRB-	-LRB-
1794	CD
-RRB-	-RRB-
Blake	NNP
,	,
William	NNP
.	.
The	DT
Tyger	NNP
,	,
in	IN
Songs	NNS
of	IN
Experience	NN
-LRB-	-LRB-
1794	CD
-RRB-	-RRB-
Bloomfield	NNP
,	,
Leonard	NNP
.	.
Literate	NNP
and	CC
Illiterate	NNP
Speech	NNP
,	,
American	NNP
Speech	NNP
,	,
2	CD
,	,
-LRB-	-LRB-
1927	CD
-RRB-	-RRB-
,	,
pp.	NN
432-441	CD
.	.
Borges	NNP
,	,
Jorge	NNP
Luis	NNP
,	,
tr	NN
.	.
R.	NNP
Simms	NNP
.	.
The	DT
Analytical	NNP
Language	NN
of	IN
John	NNP
Wilkins	NNP
.	.
In	IN
Emir	NNP
Rodriguez	NNP
Monegal	NNP
and	CC
Alistair	NNP
Reid	NNP
,	,
eds	NNS
.	.
Borges	NNP
:	:
A	NNP
reader	NN
,	,
Dutton	NNP
Adult	NN
-LRB-	-LRB-
1981	CD
-RRB-	-RRB-
,	,
p.	NN
141	CD
.	.
Borges	NNP
,	,
Jorge	NNP
Luis	NNP
.	.
Avatars	NNS
of	IN
the	DT
Tortoise	NNP
In	IN
James	NNP
E.	NNP
Irby	NNP
tr	NN
.	.
Labyrinths	NNPS
:	:
Selected	VBN
Stories	NNP
and	CC
Other	JJ
Writings	NNS
,	,
New	NNP
York	NNP
:	:
New	NNP
Directions	NNPS
,	,
-LRB-	-LRB-
1962	CD
-RRB-	-RRB-
,	,
pp.202-203	NN
.	.
Extract	NN
from	IN
British	NNP
National	NNP
Corpus	NNP
-LRB-	-LRB-
-RRB-	-RRB-
Text	VBP
KB7	NN
,	,
sentence	NN
13730	CD
.	.
Browning	NNP
,	,
Robert	NNP
.	.
Letter	NN
to	TO
George	NNP
Moulton-Barrett	NNP
,	,
Pierpont	NNP
Morgan	NNP
MA	NNP
310	CD
,	,
-LRB-	-LRB-
23	CD
-RRB-	-RRB-
Bunyan	NNP
,	,
John	NNP
.	.
The	DT
Pilgrim	NNP
's	POS
Progress	NNP
from	IN
this	DT
world	NN
to	TO
that	DT
which	WDT
is	VBZ
to	TO
come	VB
...	:
,	,
London	NNP
-LRB-	-LRB-
1678	CD
-RRB-	-RRB-
Burgess	NNP
,	,
Anthony	NNP
.	.
A	DT
Clockwork	NNP
Orange	NNP
.	.
-LRB-	-LRB-
1962	CD
-RRB-	-RRB-
,	,
opening	NN
.	.
Burton	NNP
,	,
Robert	NNP
.	.
Anatomy	NNP
of	IN
Melancholy	NNP
-LRB-	-LRB-
1621	CD
-RRB-	-RRB-
,	,
16th	JJ
ed	NN
.	.
reprinted	VBN
1846	CD
,	,
p.	NN
743	CD
.	.
Butler	NNP
,	,
Samuel	NNP
.	.
The	DT
Way	NN
of	IN
All	DT
Flesh	NN
-LRB-	-LRB-
1903	CD
-RRB-	-RRB-
,	,
chapter	NN
37	CD
.	.
Byron	NNP
,	,
George	NNP
Gordon	NNP
.	.
Don	NNP
Juan	NNP
-LRB-	-LRB-
1819	CD
-RRB-	-RRB-
,	,
I.xxii	NN
.	.
Byron	NNP
,	,
George	NNP
Gordon	NNP
.	.
Vision	NNP
of	IN
Judgment	NN
In	IN
E.H.	NNP
Coleridge	NNP
ed	VBD
.	.
The	DT
Poetical	JJ
Works	NNP
of	IN
Lord	NNP
Byron	NNP
,	,
viii	NN
,	,
1922	CD
.	.
C	NN
60/16	CD
Fine	NNP
Roll	NNP
6	CD
HENRY	NNP
III	NNP
-LRB-	-LRB-
28	CD
October	NNP
1221-27	CD
October	NNP
1222	CD
-RRB-	-RRB-
,	,
membrane	NN
5	CD
,	,
entry	NN
154	CD
.	.
Cædmon	NNP
's	POS
Hymn	NN
in	IN
Bede	NNP
's	POS
Historia	NNP
Ecclesiastica	NNP
-LRB-	-LRB-
MS	NN
Kk	NN
.	.
5	CD
.	.
16	CD
,	,
Cambridge	NNP
,	,
University	NNP
Library	NNP
-RRB-	-RRB-
Cabaret	NNP
.	.
A	DT
musical	JJ
play	NN
,	,
with	IN
book	NN
by	IN
Joe	NNP
Masteroff	NNP
,	,
lyrics	NNS
by	IN
Fred	NNP
Ebb	NNP
,	,
and	CC
music	NN
by	IN
John	NNP
Kaner	NNP
.	.
Based	VBN
on	IN
the	DT
play	NN
by	IN
John	NNP
van	NNP
Druten	NNP
and	CC
stories	NNS
by	IN
Christopher	NNP
Isherwood	NNP
.	.
1966	CD
Cavendish	NNP
,	,
Margaret	NNP
.	.
Nature	NNP
's	POS
Pictures	NNP
.	.
London	NNP
,	,
1656	CD
.	.
Women	NNS
Writers	NNPS
Online	NNP
.	.
Women	NNP
Writers	NNP
Project	NNP
,	,
Northeastern	NNP
University	NNP
.	.
29	CD
Mar.	NNP
2015	CD
http://www.wwp.northeastern.edu/texts/cavendish.natpix.html	NN
.	.
Edward	NNP
Barkley	NNP
,	,
describing	VBG
how	WRB
Essex	NNP
drove	VBD
the	DT
Irish	JJ
from	IN
the	DT
plains	NNS
into	IN
the	DT
woods	NNS
to	TO
freeze	VB
or	CC
famish	VB
in	IN
winter	NN
;	:
quoted	VBN
by	IN
Canny	NNP
,	,
Nicholas	NNP
P	NN
.	.
The	DT
Ideology	NN
of	IN
English	JJ
Colonization	NN
:	:
From	IN
Ireland	NNP
to	TO
America	NNP
.	.
In	IN
Stanley	NNP
N.	NNP
Katz	NNP
and	CC
John	NNP
M.	NNP
Murrin	NNP
eds	NNS
.	.
Colonial	NNP
America	NNP
:	:
Essays	NNS
in	IN
Politics	NNS
and	CC
Social	NNP
Development	NNP
,	,
3d	CD
ed	VBD
New	NNP
York	NNP
:	:
Knopf	NNP
,	,
-LRB-	-LRB-
1983	CD
-RRB-	-RRB-
,	,
p.	NN
53	CD
.	.
Carroll	NNP
,	,
Lewis	NNP
.	.
Through	IN
the	DT
Looking	VBG
Glass	NN
,	,
and	CC
what	WP
Alice	NNP
found	VBD
there	RB
.	.
-LRB-	-LRB-
1871	CD
-RRB-	-RRB-
The	DT
Castle	NN
of	IN
the	DT
Fly	VB
,	,
in	IN
Russian	JJ
Fairy	NNP
Tales	NNS
,	,
translated	VBN
by	IN
Norbert	NNP
Guterman	NNP
from	IN
the	DT
collections	NNS
of	IN
Aleksandr	NNP
Afanas	NNP
`	``
ev	FW
,	,
illustrations	NNS
by	IN
Alexander	NNP
Alexeieff	NNP
,	,
folkloristic	JJ
commentary	NN
by	IN
Roman	NNP
Jakobson	NNP
-LRB-	-LRB-
New	NNP
York	NNP
:	:
Pantheon	NNP
Books	NNPS
,	,
1947	CD
,	,
rpt	NN
.	.
-LSB-	-LRB-
n.d.	NN
-RSB-	-RRB-
-RRB-	-RRB-
,	,
p.	NN
25	CD
.	.
Example	NN
